Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL4065700;;0;315.38;0;4.14;31;CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(C#N)c1;IC50;'=';5200.0;nM;5.28;;;UO_0000065;16.75;0.30;1.14;6.37;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL2159497;;0;348.23;1;5.32;3;CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(Cl)cc2Cl)s1;IC50;'=';6900.0;nM;5.16;;;UO_0000065;14.82;0.35;-0.16;8.57;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL2159507;;0;507.47;2;6.06;13;CN(C)CCCOc1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1;IC50;'=';380.0;nM;6.42;;;UO_0000065;12.65;0.27;0.36;8.20;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL4081422;;0;320.39;0;4.36;21;CCCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';13600.0;nM;4.87;;;UO_0000065;15.19;0.28;0.51;6.13;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL2159508;;0;484.41;1;5.13;14;CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL2163018;Inhibition of USP7 in human HCT116 cells assessed as increase in p21 level at 30 uM incubated up to 48 hrs by Western blot analysis relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HCT-116;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308372;
CHEMBL1934131;SPHAEROPSIDIN B;0;348.44;0;2.06;5;C=C[C@]1(C)C=C2[C@@H](O)[C@@]3(O)OC(=O)[C@@]4(CCCC(C)(C)[C@H]34)[C@@]2(O)CC1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4321558;Inhibition of USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4316640;1;Scientific Literature;J Nat Prod;2019;None;
CHEMBL4063215;;0;293.33;0;2.99;18;Nc1nc(N)c(-c2ccc(O)cc2)cc1-c1ccc(O)cc1;EC50;'=';36500.0;nM;4.44;;;UO_0000065;15.13;0.28;1.45;4.21;0;CHEMBL4033116;Inhibition of USP7 in human SJSA cells assessed as increase in ubiquitinated MDM2 level after 16 hrs in presence of MG132 by MSD assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL3786691;;0;507.72;2;6.46;Page no 437, R15C1;COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)CC(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2;IC50;'=';25000.0;nM;4.60;;;UO_0000065;9.06;0.17;-1.86;5.46;0;CHEMBL4119776;Inhibition of USP7 (unknown origin) using human N-terminal GST-tagged UBA52 as substrate preincubated for 10 mins followed by substrate addition measured after 45 mins by coomassie brilliant blue staining-based SDS-PAGE analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4174658;;0;248.32;0;2.11;1;CC1C2C=CC3(C)C1(C)CCC31C(=O)O[C@H](O)[C@@H]21;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4132949;Inhibition of ubiquitin/USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4130404;1;Scientific Literature;J Nat Prod;2017;None;
CHEMBL4085645;;0;231.25;0;1.52;5;Oc1ccc(-c2nc(C3CCNC3)no2)cc1;IC50;'=';132000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4076471;;0;320.39;0;4.53;22;CC(C)c1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';21400.0;nM;4.67;;;UO_0000065;14.57;0.27;0.14;5.88;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4090799;;0;330.39;0;4.14;32;CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2[nH]ncc2c1;IC50;'=';610.0;nM;6.21;;;UO_0000065;18.81;0.34;2.07;7.08;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4090018;;0;209.26;0;2.20;1;Fc1cccc(OCC2CCNCC2)c1;Activity;;;;;;Active;;;;;;0;CHEMBL4033114;Binding affinity to human His-tagged and [15N-13C-2H], delta1[13CH3]-Ile, [13CH3]-Leu/Val and [13CH3]-Met-labeled USP7-catalytic domain (208 to 554 residues) expressed in Escherichia coli Rosetta 2 (DE3) cells by 2D[1H-15N]-based TROSY spectrum NMR analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL2159501;;0;447.37;0;4.33;7;CN1CCC(NC(=O)c2cc([N+](=O)[O-])c(Sc3c(Cl)cncc3Cl)s2)CC1;IC50;'=';1700.0;nM;5.77;;;UO_0000065;12.90;0.29;1.44;6.53;0;CHEMBL2162864;Inhibition of recombinant USP7 expressed in Sf9 cells by Ub-CHOP reporter assay;B;BAO_0000219;cell-based format;None;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL2157895;1;Scientific Literature;ACS Med. Chem. Lett.;2012;CHEMBL3308860;
CHEMBL4787231;;0;267.33;0;3.53;5;CC(C)Nc1nc2ccccn2c1-c1ccc(O)cc1;IC50;'=';7900.0;nM;5.10;;;UO_0000065;19.09;0.35;1.57;10.30;0;CHEMBL4728080;Inhibition of recombinant full length USP7 (unknown origin) using di-ubiquitin as substrate by fluorescence based assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4725339;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;
CHEMBL3407548;;0;266.65;0;2.08;1, HBX 41,108;N#Cc1nc2c(nc1C#N)-c1cc(Cl)ccc1C2=O;IC50;'=';420.0;nM;6.38;;;UO_0000065;23.91;0.46;4.30;7.05;0;CHEMBL3412280;Inhibition of USP7 (unknown origin) by Ub-AMC assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL3407357;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL4092976;;0;348.41;0;3.02;GNE-6776;CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';1300.0;nM;5.89;;;UO_0000065;16.89;0.31;2.87;5.82;0;CHEMBL4728078;Inhibition of recombinant human C-terminal His-tagged N-terminal GST-tagged full length USP7 using di-ubiquitin as substrate preincubated for 10 mins followed by substrate addition and measured after 60 mins by TR-FRET assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4725339;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;TIME = 1.167 hr
CHEMBL4073763;;0;394.26;0;4.53;C12;CC(=O)OC(C)c1nc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4130194;;0;405.50;0;2.63;16;CC(Cc1ccccc1)C(=O)N1CCC(O)(Cn2cnc3ccccc3c2=O)CC1;IC50;'=';15000.0;nM;4.82;;;UO_0000065;11.90;0.22;2.19;6.40;0;CHEMBL4119778;Inhibition of USP7 (unknown origin) using GST-Ub52-flag substrate incubated for 1 hr by fluorimetry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4128994;;0;616.57;2;5.13;26;CN(C)CCCNC1CS(=O)(=O)c2cc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)ccc21;IC50;'=';200.0;nM;6.70;;;UO_0000065;10.86;0.24;1.57;4.98;0;CHEMBL4119768;Inhibition of USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4076247;;0;330.39;0;4.14;33;CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';980.0;nM;6.01;;;UO_0000065;18.19;0.33;1.87;6.84;0;CHEMBL4119771;Inhibition of full-length native C-terminal USP7 (unknown origin) using Ub-Rho110 as substrate after 1 hr by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL3233814;;0;390.50;1;5.07;3j;C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc(F)cc2)CC1;IC50;;;;;;Not Active;;;;;;0;CHEMBL3239934;Inhibition of human USP7 using Ub-rhodamine 110 as substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL3232931;1;Scientific Literature;J. Med. Chem.;2014;None;
CHEMBL4100573;;0;422.32;1;5.31;C13;CCCC(=O)OC(C)c1nc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1;IC50;'=';4490.0;nM;5.35;;;UO_0000065;12.66;0.29;0.04;5.62;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4084117;;0;346.19;0;4.17;C10;CC(=O)c1nc([N+](=O)[O-])c(NCc2ccc(Cl)c(Cl)c2)s1;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL2398212;;0;266.65;0;2.08;"11; HBX41,108";N#Cc1nc2c(nc1C#N)-c1ccc(Cl)cc1C2=O;IC50;'=';420.0;nM;6.38;;;UO_0000065;23.91;0.46;4.30;7.05;0;CHEMBL4119759;Inhibition of full length wild-type human N-terminal His-tagged USP7 expressed in baculovirus infected Sf9 cells using Ub-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 2 hrs by fluorescence based assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4126574;;0;419.96;1;5.62;15;O=C(Nc1cccc(CN2CCCC2)c1)c1ccc2nc3c(c(Cl)c2c1)CCCC3;IC50;'=';8200.0;nM;5.09;;;UO_0000065;12.11;0.23;-0.53;11.25;0;CHEMBL4119768;Inhibition of USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL2159495;;0;348.23;1;5.32;"17; P5091";CC(=O)c1cc([N+](=O)[O-])c(Sc2cccc(Cl)c2Cl)s1;IC50;'=';4200.0;nM;5.38;;;UO_0000065;15.44;0.37;0.06;8.93;0;CHEMBL4119769;Inhibition of full-length recombinant USP7 (unknown origin) expressed in Sf9 cells using Ub-EKL as substrate preincubated for 30 mins followed by substrate addition by fluorescence based assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf9;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4073569;;0;200.24;0;2.50;10;CNc1cccc(-c2ccccc2O)n1;Activity;;;;;;Active;;;;;;0;CHEMBL4033114;Binding affinity to human His-tagged and [15N-13C-2H], delta1[13CH3]-Ile, [13CH3]-Leu/Val and [13CH3]-Met-labeled USP7-catalytic domain (208 to 554 residues) expressed in Escherichia coli Rosetta 2 (DE3) cells by 2D[1H-15N]-based TROSY spectrum NMR analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4090018;;0;209.26;0;2.20;1;Fc1cccc(OCC2CCNCC2)c1;IC50;'>';2000000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4777381;;0;308.39;0;2.76;13;Nc1nc2cc(C3CCNCC3)ccn2c1-c1ccc(O)cc1;IC50;'=';5300.0;nM;5.28;;;UO_0000065;17.11;0.31;2.52;6.98;0;CHEMBL4728080;Inhibition of recombinant full length USP7 (unknown origin) using di-ubiquitin as substrate by fluorescence based assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4725339;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;
